MONTH,BOROUGH,COMMUNITYDISTRICT,RESORGANICSTONS,SCHOOLORGANICTONS,BOROUGH_ID
2026 / 01,Queens,13,168.9,55.2,4
2026 / 01,Queens,14,90.7,,4
2025 / 12,Queens,1,266.8,120.5,4
2025 / 12,Queens,,212.5,172.9,4
2025 / 12,Queens,3,195.9,,4
2025 / 12,Queens,4,159.6,,4
2025 / 12,Queens,5,317.4,111.3,4
2025 / 12,Queens,6,205.4,4.7,4
2025 / 12,Queens,7,265.4,,4
2025 / 12,Queens,8,249,,4
2025 / 12,Queens,9,268.6,111.1,4
2025 / 12,Queens,10,168,78.4,4
2025 / 12,Queens,11,379.8,86.3,4
2025 / 12,Queens,12,413.5,75.5,4
2025 / 12,Queens,13,244.5,64.7,4
2025 / 12,Queens,14,98.7,,4
2025 / 11,Queens,1,296.8,122.1,4
2025 / 11,Queens,2,221.9,167.8,4
2025 / 11,Queens,3,231.5,,4
2025 / 11,Queens,4,168.8,,4
2025 / 11,Queens,5,443.8,105.3,4
2025 / 11,Queens,6,305.5,,4
2025 / 11,Queens,7,431.3,97.3,4
2025 / 11,Queens,8,320.6,,4
2025 / 11,Queens,9,386.2,114.8,4
2025 / 11,Queens,10,225.3,70.7,4
2025 / 11,Queens,11,612.4,82.9,4
2025 / 11,Queens,12,615.2,72.4,4
2025 / 11,Queens,13,345.4,68.3,4
2025 / 11,Queens,14,111.6,,4
2025 / 10,Queens,1,247.9,145.3,4
2025 / 10,Queens,2,211.7,205.4,4
2025 / 10,Queens,3,220,,4
2025 / 10,Queens,4,176.4,,4
2025 / 10,Queens,5,364.9,131.2,4
2025 / 10,Queens,6,210,,4
2025 / 10,Queens,7,307.5,114.1,4
2025 / 10,Queens,8,218.8,,4
2025 / 10,Queens,9,304.9,138.5,4
2025 / 10,Queens,10,184.2,97.8,4
2025 / 10,Queens,11,377.9,101.1,4
2025 / 10,Queens,12,461.1,,4
2025 / 10,Queens,13,244.4,79.6,4
2025 / 10,Queens,14,110.3,,4
2025 / 09,Queens,1,221.3,121.6,4
2025 / 09,Queens,2,189.4,168.3,4
2025 / 09,Queens,3,173,,4
2025 / 09,Queens,4,164.6,,4
2025 / 09,Queens,5,346.4,112.9,4
2025 / 09,Queens,6,197.8,,4
2025 / 09,Queens,7,288.1,95.7,4
2025 / 09,Queens,8,202.9,,4
2025 / 09,Queens,9,263.3,104.8,4
2025 / 09,Queens,10,161.8,79.5,4
2025 / 09,Queens,11,357.3,83.2,4
2025 / 09,Queens,12,434,75.7,4
2025 / 09,Queens,13,235.2,69.6,4
2025 / 09,Queens,14,102.4,,4
2025 / 08,Queens,1,235.6,23.3,4
2025 / 08,Queens,2,187.3,,4
2025 / 08,Queens,3,191.3,,4
2025 / 08,Queens,4,174.4,,4
2025 / 08,Queens,5,350.9,54.6,4
2025 / 08,Queens,6,202.1,,4
2025 / 08,Queens,7,304.6,23.6,4
2025 / 08,Queens,8,201.2,,4
2025 / 08,Queens,9,266.4,,4
2025 / 08,Queens,10,197.8,21.3,4
2025 / 08,Queens,11,360.8,,4
2025 / 08,Queens,12,421.4,20.1,4
2025 / 08,Queens,13,256.6,,4
2025 / 08,Queens,14,118.2,,4
2025 / 07,Queens,1,279,54.2,
2025 / 07,Queens,2,204.4,,
2025 / 07,Queens,3,206.1,,
2025 / 07,Queens,4,183.8,,
2025 / 07,Queens,5,416.1,97.5,
2025 / 07,Queens,6,206.4,,
2025 / 07,Queens,7,356.1,50.3,
2025 / 07,Queens,8,225.3,,
2025 / 07,Queens,9,293.3,,
2025 / 07,Queens,10,230.4,42.4,
2025 / 07,Queens,11,422.7,,
2025 / 07,Queens,12,505.2,28.9,
2025 / 07,Queens,13,337.7,11.4,
2025 / 07,Queens,14,139.1,,
2025 / 06,Queens,1,286.8,113.6,
2025 / 06,Queens,2,198.6,179.4,
2025 / 06,Queens,3,179.7,,
2025 / 06,Queens,4,177.8,,
2025 / 06,Queens,5,419.1,128.6,
2025 / 06,Queens,6,201.9,,
2025 / 06,Queens,7,376.4,86.9,
2025 / 06,Queens,8,250.3,,
2025 / 06,Queens,9,316,114.5,
2025 / 06,Queens,10,257.4,68.9,
2025 / 06,Queens,11,413.4,61.8,
2025 / 06,Queens,12,496.7,65.4,4
2025 / 06,Queens,13,375.5,57.3,4
2025 / 06,Queens,14,,,4
2025 / 05,Queens,1,287.1,167.7,4
2025 / 05,Queens,2,209.9,223.8,4
2025 / 05,Queens,3,202.3,,4
2025 / 05,Queens,4,191,,4
2025 / 05,Queens,5,454.7,137.3,4
2025 / 05,Queens,6,226.3,,4
2025 / 05,Queens,7,493.8,110.4,4
2025 / 05,Queens,8,329.8,,4
2025 / 05,Queens,9,343.6,149.4,4
2025 / 05,Queens,10,324.5,89,4
2025 / 05,Queens,11,473,94.7,4
2025 / 05,Queens,12,547.6,89.5,4
2025 / 05,Queens,13,452.6,78.9,4
2025 / 05,Queens,14,154.2,,4
2025 / 04,Queens,1,206.1,148.7,4
2025 / 04,Queens,2,153.1,184.2,4
2025 / 04,Queens,3,,,4
2025 / 04,Queens,4,141.1,,4
2025 / 04,Queens,5,353.5,109.6,4
2025 / 04,Queens,6,146,,4
2025 / 04,Queens,7,377.8,111.9,4
2025 / 04,Queens,8,244.9,,4
2025 / 04,Queens,9,256.7,116.4,4
2025 / 04,Queens,10,235.2,74.4,4
2025 / 04,Queens,11,326.7,77.3,4
2025 / 04,Queens,12,338.4,75,4
2025 / 04,Queens,13,362.6,57.3,4
2025 / 04,Queens,14,104.3,,4
2025 / 03,Queens,1,83.2,200.8,4
2025 / 03,Queens,2,45,204.3,4
2025 / 03,Queens,3,43.1,,4
2025 / 03,Queens,4,24.2,,4
2025 / 03,Queens,5,78.1,120.8,4
2025 / 03,Queens,6,62.9,,4
2025 / 03,Queens,7,73.9,155.6,4
2025 / 03,Queens,8,83.1,,4
2025 / 03,Queens,9,80.6,106.4,4
2025 / 03,Queens,10,24.7,80.8,4
2025 / 03,Queens,11,76.9,87.3,4
2025 / 03,Queens,12,160.2,86.6,4
2025 / 03,Queens,13,66.2,66.9,4
2025 / 03,Queens,14,42.8,,4
2025 / 02,Queens,1,49.5,173.2,4
2025 / 02,Queens,2,32.3,162.7,4
2025 / 02,Queens,3,34,,4
2025 / 02,Queens,4,18.5,,4
2025 / 02,Queens,5,44.9,84.8,4
2025 / 02,Queens,6,37.8,,4
2025 / 02,Queens,7,37.7,116.2,4
2025 / 02,Queens,8,49.5,,4
2025 / 02,Queens,9,58.2,71.3,4
2025 / 02,Queens,10,26.6,65.2,4
2025 / 02,Queens,11,39.9,68.3,4
2025 / 02,Queens,12,75,66.6,4
2025 / 02,Queens,13,53,51.3,4
2025 / 02,Queens,14,30.2,,4
2025 / 01,Queens,1,90.2,214,4
2025 / 01,Queens,2,51.4,208.5,4
2025 / 01,Queens,3,50.3,,4
2025 / 01,Queens,4,26.7,,4
2025 / 01,Queens,5,76.3,112.9,4
2025 / 01,Queens,6,57.1,,4
2025 / 01,Queens,7,54.3,148.4,4
2025 / 01,Queens,8,70.7,,4
2025 / 01,Queens,9,68.6,107,4
2025 / 01,Queens,10,31,80.6,4
2025 / 01,Queens,11,63.5,92,4
2025 / 01,Queens,12,119.2,82.4,4
2025 / 01,Queens,13,60.4,60.2,4
2025 / 01,Queens,14,44.2,,4
2024 / 12,Queens,1,97.5,183.2,4
2024 / 12,Queens,2,51,165.3,4
2024 / 12,Queens,3,55.1,,4
2024 / 12,Queens,4,31.7,,4
2024 / 12,Queens,5,100.2,84.1,4
2024 / 12,Queens,6,97.7,,4
2024 / 12,Queens,7,105.2,114.7,4
2024 / 12,Queens,8,130.9,,4
2024 / 12,Queens,9,115.5,93.7,4
2024 / 12,Queens,10,42.3,66.2,4
2024 / 12,Queens,11,123.4,75,4
2024 / 12,Queens,12,264.9,79,4
2024 / 12,Queens,13,90.2,50,4
2024 / 12,Queens,14,45.1,,4
2024 / 11,Queens,1,129.9,185.6,4
2024 / 11,Queens,2,62.5,179.2,4
2024 / 11,Queens,3,70.6,,4
2024 / 11,Queens,4,41.1,,4
2024 / 11,Queens,5,154,104.9,4
2024 / 11,Queens,6,151.4,,4
2024 / 11,Queens,7,193.7,114.8,4
2024 / 11,Queens,8,177.1,,4
2024 / 11,Queens,9,179.2,100.3,4
2024 / 11,Queens,10,68.6,66.4,4
2024 / 11,Queens,11,233.8,85,4
2024 / 11,Queens,12,454.8,84.4,4
2024 / 11,Queens,13,158,59.3,4
2024 / 11,Queens,14,71.7,,4
2024 / 10,Queens,1,91.4,231.7,4
2024 / 10,Queens,2,43.3,224.6,4
2024 / 10,Queens,3,45.1,,4
2024 / 10,Queens,4,34.2,,4
2024 / 10,Queens,5,103.8,126.4,4
2024 / 10,Queens,6,89.9,,4
2024 / 10,Queens,7,109.6,152.4,4
2024 / 10,Queens,8,93.5,,4
2024 / 10,Queens,9,119.1,130.2,4
2024 / 10,Queens,10,42.7,95.7,4
2024 / 10,Queens,11,115.1,105.7,4
2024 / 10,Queens,12,288.1,117.7,4
2024 / 10,Queens,13,90.3,75,4
2024 / 10,Queens,14,61.3,,4
2024 / 09,Queens,1,56.9,191.3,4
2024 / 09,Queens,2,29.1,196.7,4
2024 / 09,Queens,3,33.7,,4
2024 / 09,Queens,4,25.3,,4
2024 / 09,Queens,5,62,113.8,4
2024 / 09,Queens,6,55.4,,4
2024 / 09,Queens,7,74.1,141.5,4
2024 / 09,Queens,8,53.8,,4
2024 / 09,Queens,9,71.7,112.2,4
2024 / 09,Queens,10,29.2,73,4
2024 / 09,Queens,11,61.7,79.7,4
2024 / 09,Queens,12,207,95,4
2024 / 09,Queens,13,56.4,54.6,4
2024 / 09,Queens,14,54.7,,4
2024 / 08,Queens,1,87.2,38.7,4
2024 / 08,Queens,2,35.7,,4
2024 / 08,Queens,3,41.9,,4
